year,state,paid_holders,resident_licenses,nonresident_licenses,gross_cost,resident_cost,nonresident_cost,fips,pop,council_id,council_name
2023,New York,911677.0,1015693.0,189220.0,23375238.0,17361622.0,6013616.0,36,,2,Mid-Atlantic
2023,North Carolina,1487575.0,710655.0,287574.0,29562489.0,22819832.0,6742656.0,37,,2,Mid-Atlantic
2023,North Dakota,226654.0,162196.0,67586.0,4437198.0,2136770.0,2300428.0,38,,0,No Council
2023,Ohio,909854.0,797174.0,108543.0,24158635.0,21091636.0,3066999.0,39,,0,No Council
2023,Oklahoma,761573.0,337947.0,141286.0,13214129.0,8696473.0,4517656.0,40,,0,No Council
2023,Oregon,650307.0,762544.0,190796.0,31960429.0,24349078.0,7611352.0,41,,5,Pacific
2023,Pennsylvania,1146972.0,1512369.0,127898.0,32057884.0,27845454.0,4212430.0,42,,2,Mid-Atlantic
2023,Puerto Rico,0.0,0.0,0.0,,,,72,,7,Caribbean
2023,Rhode Island,68406.0,92551.0,20965.0,1051143.0,752356.0,298787.0,44,,1,New England
2023,South Carolina,603247.0,593097.0,193964.0,7806764.0,4341888.0,3464875.0,45,,3,South Atlantic
2023,South Dakota,247186.0,159498.0,94308.0,7786530.0,3804627.0,3981902.0,46,,0,No Council
2023,Tennessee,923447.0,847688.0,214541.0,26014586.0,18449726.0,7564859.0,47,,0,No Council
2023,Texas,2099153.0,2377009.0,167295.0,71482515.0,65197983.0,6284532.0,48,,4,Gulf of Mexico
2023,United States Virgin Islands,0.0,0.0,0.0,,,,78,,7,Caribbean
2023,Utah,604287.0,482319.0,158866.0,19562171.0,14711170.0,4851001.0,49,,0,No Council
2023,Vermont,124898.0,93017.0,37221.0,4454205.0,2962838.0,1491366.0,50,,0,No Council
2023,Virginia,595755.0,899540.0,107310.0,29048021.0,25861953.0,3186068.0,51,,2,Mid-Atlantic
2023,Washington,789966.0,1542832.0,125802.0,42223004.0,37441764.0,4781240.0,53,,5,Pacific
2023,West Virginia,290967.0,534183.0,147418.0,5484382.0,4027606.0,1456776.0,54,,0,No Council
2023,Wisconsin,1434816.0,1405735.0,427850.0,35903695.0,24002985.0,11900710.0,55,,0,No Council
2023,Wyoming,268606.0,119791.0,227271.0,9148336.0,2554868.0,6593468.0,56,,0,No Council
2022,Alabama,645248.0,692227.0,149770.0,17333265.0,11733817.0,5599447.0,1,,4,Gulf of Mexico
2022,Alaska,433086.0,225510.0,361549.0,23376104.0,4779113.0,18596991.0,2,,6,North Pacific
2022,American Samoa,0.0,0.0,0.0,,,,60,,8,Western Pacific
2022,Arizona,440200.0,355880.0,94499.0,14312022.0,9702523.0,4609499.0,4,,0,No Council
2022,Arkansas,568027.0,494337.0,174265.0,9663303.0,5575099.0,4088204.0,5,,0,No Council
2022,California,1599567.0,2324596.0,157737.0,70341002.0,65536014.0,4804988.0,6,,5,Pacific
2022,Colorado,885749.0,775127.0,460097.0,27094151.0,16109262.0,10984889.0,8,,0,No Council
2022,Connecticut,143542.0,275815.0,20977.0,4560723.0,3944403.0,616320.0,9,,1,New England
2022,Delaware,87243.0,64583.0,46009.0,1645334.0,703073.0,942261.0,10,,2,Mid-Atlantic
2022,District of Columbia,7630.0,1542.0,6088.0,85196.0,16357.0,68839.0,11,,0,No Council
2022,Florida,1596400.0,1621980.0,682435.0,43372070.0,22827941.0,20544130.0,12,,3,South Atlantic
2022,Georgia,1065774.0,1443506.0,171769.0,16312656.0,13491105.0,2821551.0,13,,3,South Atlantic
2022,Guam,0.0,0.0,0.0,,,,66,,8,Western Pacific
2022,Hawaii,3618.0,3127.0,732.0,19889.0,12252.0,7637.0,15,,8,Western Pacific
2022,Idaho,511013.0,752927.0,287474.0,17730750.0,9820127.0,7910623.0,16,,0,No Council
2022,Illinois,604574.0,652707.0,49318.0,8503969.0,7310074.0,1193895.0,17,,0,No Council
2022,Indiana,502813.0,381940.0,55607.0,7626239.0,6257163.0,1369076.0,18,,0,No Council
2022,Iowa,328365.0,312836.0,53162.0,9549316.0,7879059.0,1670257.0,19,,0,No Council
2022,Kansas,242401.0,189467.0,33579.0,5848930.0,4751504.0,1097426.0,20,,0,No Council
2022,Kentucky,509377.0,464602.0,79524.0,10991841.0,8142346.0,2849496.0,21,,0,No Council
2022,Louisiana,801672.0,772662.0,243451.0,12262561.0,7685925.0,4576636.0,22,,4,Gulf of Mexico
2022,Maine,334035.0,182444.0,85491.0,8720369.0,5208075.0,3512294.0,23,,1,New England
2022,Maryland,287546.0,343121.0,90956.0,9148971.0,6811822.0,2337149.0,24,,2,Mid-Atlantic
